question,answer,rule,category
탕비실은 어디로 가야 하나요?,사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
탕비실 위치 알려주세요.,사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
커피 마시고 싶은데 탕비실은 어디 있죠?,사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
사무실에서 탕비실 가려면 어떻게 가나요?,사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
간식/음료 있는 곳은 어디인가요?,사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
휴게 공간(탕비실) 위치가 어디예요?,사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
손님 컵이 필요한데 탕비실 위치가 궁금해요.,사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
정수기 있는 탕비실 어디임?,사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
간단히 먹을 곳(탕비실) 찾고 있어요.,사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
탕비실 방향 좀 알려줄래요?,사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
탕비실 찾는 법이 뭐죠?,사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
사무실에서 안쪽으로 가면 뭐가 있나요? (탕비실),사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
컵/커피머신이 있는 곳 어디죠?,사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
간식 보관 장소는 어디예요?,사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
탕비실 위치 정확히?,사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
신입인데 탕비실 어디로 가면 돼요?,사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
음료수 마실 수 있는 공간 어디예요?,사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
전자레인지 있는 곳(탕비실) 어디인가요?,사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
설거지하는 싱크대는 어디에 있어요?,사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
사무실 안쪽 가면 나오는 공간 이름 뭐죠? (탕비실),사내 탕비실은 사무실 안쪽으로 들어가시면 됩니다.,사내에서 탕비실을 가려면 사무실 안쪽에 가면된다.,pantry
업무 문서 양식은 어디서 확인하나요?,회사 모든 업무 문서 양식은 사내 사이트의 ‘규칙’ 탭에서 확인하실 수 있습니다.,회사 모든 업무 문서 양식은 사이트에서 규칙탭을 들어가서 확인해보면 된다.,docs
회사 문서 템플릿은 어디에 모여 있나요?,회사 모든 업무 문서 양식은 사내 사이트의 ‘규칙’ 탭에서 확인하실 수 있습니다.,회사 모든 업무 문서 양식은 사이트에서 규칙탭을 들어가서 확인해보면 된다.,docs
보고서/기안서 양식은 어디서 받죠?,회사 모든 업무 문서 양식은 사내 사이트의 ‘규칙’ 탭에서 확인하실 수 있습니다.,회사 모든 업무 문서 양식은 사이트에서 규칙탭을 들어가서 확인해보면 된다.,docs
